Stock_Number,price,up_down,Quote_change,Highest,lowest,price_gap,Trading_volume,Transaction_amount(100 million)
2449.TW,99.70,4.80,4.59%,103.50,98.60,4.90,"20,538",20.6037
3312.TW,44.75,4.55,9.23%,49.00,44.40,4.60,"20,484",9.4300
1314.TW,9.41,0.25,2.59%,9.69,9.37,0.32,"20,358",1.9250
2880.TW,22.40,0.55,2.40%,22.90,22.35,0.55,"20,178",4.5470
2897.TW,9.86,0.24,2.38%,10.10,9.86,0.24,"20,150",2.0024
2501.TW,27.55,0.60,2.13%,28.85,27.25,1.60,"20,100",5.6278
3027.TW,46.25,0.30,0.64%,48.10,44.80,3.30,"20,049",9.3871
5880.TW,25.70,0.40,1.53%,26.10,25.70,0.40,"19,892",5.1341
00671R.TW,4.18,0.09,2.20%,4.19,4.16,0.03,"19,416",0.8102
00934.TW,18.46,0.49,2.59%,18.76,18.33,0.43,"19,073",3.5240
1503.TW,307.00,2.00,0.65%,322.50,297.00,25.50,"18,931",59.0672
2401.TW,29.30,1.50,5.40%,29.40,27.85,1.55,"18,908",5.4346
00922.TW,18.58,0.55,2.88%,18.99,18.47,0.52,"18,905",3.5302
6283.TW,34.20,2.70,8.57%,34.65,31.95,2.70,"18,803",6.2852
4938.TW,95.40,3.30,3.34%,98.50,95.00,3.50,"18,580",17.8962
1617.TW,22.55,1.80,8.67%,22.80,21.40,1.40,"18,084",4.0488
3013.TW,69.60,2.40,3.33%,71.70,67.00,4.70,"17,683",12.1767
6005.TW,21.05,0.55,2.55%,21.60,20.75,0.85,"17,670",3.7197
2101.TW,46.20,1.15,2.43%,47.05,45.20,1.85,"17,133",7.8574
